"URL,C,54","NAME,C,80","TYPEID,N,9,0","TYPE,C,60","MAP_REF,C,9","LONGITUDE,N,9,6","LATITUDE,N,9,6","COUNTY,C,35","ACCURACY,N,9,0","CONDITION,N,9,0","AMBIENCE,N,9,0","ACCESS,N,9,0","IMAGE,C,9","COLOUR,C,9"
99999,CASTLERUDDERY LOWER WI021-032----,21,Viewpoint,,-6.63671683,52.99111028,CLARE,0,5,0,5,,tg
99999,BOLEYCARRIGEEN WI027-039----,21,Viewpoint,,-6.60979829,52.94617202,CLARE,0,5,0,5,,tg
99999,BALLYMANA DU024-027002-,21,Viewpoint,,-6.40583006,53.25357115,CLARE,0,5,0,5,,tg
99999,BALLYMANA DU024-028----,21,Viewpoint,,-6.40478904,53.25415943,CLARE,0,5,0,5,,tg
99999,BALLYEDMONDUFF DU025-046----,21,Viewpoint,,-6.22463273,53.23295248,CLARE,0,5,0,5,,tg
99999,BROADLEAS COMMONS KD029-023----,21,Viewpoint,,-6.6120473,53.11094186,CLARE,0,5,0,5,,tg
99999,WHITELEAS KD029-032----,21,Viewpoint,,-6.61637447,53.10364004,CLARE,0,5,0,5,,tg
99999,BREWEL WEST KD032-026002-,21,Viewpoint,,-6.75858294,53.05581063,CLARE,0,5,0,5,,tg
99999,BALLYFOYLE WI005-005----,21,Viewpoint,,-6.45280778,53.18520694,CLARE,0,5,0,5,,tg
99999,BLESSINGTON DEMESNE WI005-014----,21,Viewpoint,,-6.55004593,53.1729932,CLARE,0,5,0,5,,tg
99999,ATHGREANY WI015-010----,21,Viewpoint,,-6.61275138,53.07188802,CLARE,0,5,0,5,,tg
99999,FORRISTEEN WI015-018----,21,Viewpoint,,-6.68117419,53.05532822,CLARE,0,5,0,5,,tg
99999,TORNANT UPPER WI015-037----,21,Viewpoint,,-6.69542109,53.04296499,CLARE,0,5,0,5,,tg
99999,PLEZICA WI015-088----,21,Viewpoint,,-6.65519928,53.05303309,CLARE,0,5,0,5,,tg
99999,TOOR WI016-020001-,21,Viewpoint,,-6.56946077,53.06325014,CLARE,0,5,0,5,,tg
99999,TOOR WI016-020003-,21,Viewpoint,,-6.56957729,53.06153481,CLARE,0,5,0,5,,tg
99999,CASTLERUDDERY LOWER WI021-032----,21,Viewpoint,,-6.63671683,52.99111028,CLARE,0,5,0,5,,tg
99999,BOLEYCARRIGEEN WI027-039----,21,Viewpoint,,-6.60979829,52.94617202,CLARE,0,5,0,5,,tg
99999,BALLYMANA DU024-027002-,21,Viewpoint,,-6.40583006,53.25357115,CLARE,0,5,0,5,,tg
99999,BALLYMANA DU024-028----,21,Viewpoint,,-6.40478904,53.25415943,CLARE,0,5,0,5,,tg
99999,BALLYEDMONDUFF DU025-046----,21,Viewpoint,,-6.22463273,53.23295248,CLARE,0,5,0,5,,tg
