Number,Height,TopCentreBottom,Azimuth,Elevation,Latitude,Longitude
0,WinterSolsticeSun,Bottom,146.579005143141,6.43446518866922,53.0566666666667,-6.59583333333333
1,WinterSolsticeSun,Centre,146.124830208334,6.54219690398297,53.0566666666667,-6.59555555555556
2,WinterSolsticeSun,Top,145.676534840844,6.65076163608137,53.0566666666667,-6.59527777777778
3,WinterSolsticeSun,Top,226.709246307281,1.09185343606447,53.0711111111111,-6.61416666666667
4,WinterSolsticeSun,Centre,226.113035153216,1.10900199180363,53.0711111111111,-6.61416666666667
5,WinterSolsticeSun,Bottom,225.531130755347,1.11707279791968,53.0711111111111,-6.61416666666667
6,SummerSolsticeSun,Bottom,58.3480630268477,6.50899195635563,53.0811111111111,-6.58805555555556
7,SummerSolsticeSun,Centre,57.8673723210201,6.5092987827695,53.0813888888889,-6.58833333333333
8,SummerSolsticeSun,Top,57.4000872899503,6.51935104704295,53.0813888888889,-6.58833333333333
9,SummerSolsticeSun,Top,313.612290545825,0.251084517495055,53.1011111111111,-6.66361111111111
10,SummerSolsticeSun,Centre,312.943733797067,0.30266309854431,53.1005555555556,-6.66388888888889
11,SummerSolsticeSun,Bottom,312.23434912066,0.376529674319112,53.0938888888889,-6.65305555555556
12,EquinoxSun,Bottom,96.6906174629672,4.83781818980366,53.0705555555556,-6.59277777777778
13,EquinoxSun,Bottom,96.6771991497582,4.8281379512433,53.0705555555556,-6.59277777777778
14,EquinoxSun,Bottom,96.6771991497582,4.8281379512433,53.0705555555556,-6.59277777777778
15,EquinoxSun,Centre,96.0211949729964,4.67805197712931,53.0708333333333,-6.59277777777778
16,EquinoxSun,Top,95.3788644349224,4.53726760753171,53.0708333333333,-6.59277777777778
17,EquinoxSun,Top,269.120958140398,1.35364440308646,53.0716666666667,-6.65611111111111
18,EquinoxSun,Centre,268.680874930817,1.35096816523965,53.0713888888889,-6.65638888888889
19,EquinoxSun,Bottom,268.20747105049,1.37080984985895,53.0711111111111,-6.65666666666667
20,MoonMinusEMinusI,Bottom,159.6638205406,4.30050410957618,53.0572222222222,-6.60361111111111
21,MoonMinusEMinusI,Centre,158.906709090036,4.37577678567908,53.0575,-6.60333333333333
22,MoonMinusEMinusI,Top,158.267630376606,4.47541704763591,53.0566666666667,-6.6025
23,MoonMinusEMinusI,Top,211.928814274798,1.34170553048815,53.0708333333333,-6.61388888888889
24,MoonMinusEMinusI,Centre,211.30484458689,1.30853163439965,53.0708333333333,-6.61388888888889
25,MoonMinusEMinusI,Bottom,210.668852262344,1.27625510988262,53.0708333333333,-6.61388888888889
26,MoonMinusEPlusI,Bottom,139.253539450264,8.00065892357703,53.0566666666667,-6.59055555555556
27,MoonMinusEPlusI,Centre,138.796313697964,8.07770556109195,53.0566666666667,-6.59055555555556
28,MoonMinusEPlusI,Top,138.32367858086,8.14636814638898,53.0569444444444,-6.59055555555556
29,MoonMinusEPlusI,Top,236.001207704434,0.735179831242909,53.0713888888889,-6.61444444444444
30,MoonMinusEPlusI,Centre,235.441872073076,0.770135173827555,53.0713888888889,-6.61444444444444
31,MoonMinusEPlusI,Centre,235.441872073076,0.770135173827555,53.0713888888889,-6.61444444444444
