Number,Height,TopCentreBottom,Azimuth,Elevation,Latitude,Longitude
0,WinterSolsticeSun,Bottom,132.140579259976,-0.0659123299349274,53.2280555555556,-6.21555555555556
1,WinterSolsticeSun,Centre,131.505865388145,-0.107212461219796,53.2283333333333,-6.21527777777778
2,WinterSolsticeSun,Top,130.896857604279,-0.138770399482965,53.2283333333333,-6.21527777777778
3,WinterSolsticeSun,Top,208.870539390584,8.4603838186557,53.2319444444444,-6.22583333333333
4,WinterSolsticeSun,Centre,208.135055364811,8.4193378869698,53.2319444444444,-6.22555555555556
5,WinterSolsticeSun,Bottom,207.364722449372,8.38409491842698,53.2319444444444,-6.22555555555556
6,WinterSolsticeSun,Bottom,207.137682904844,8.4541036870049,53.2322222222222,-6.22527777777778
7,WinterSolsticeSun,Bottom,207.123027831392,8.45860225379949,53.2322222222222,-6.22527777777778
8,WinterSolsticeSun,Bottom,207.123027831392,8.45860225379949,53.2322222222222,-6.22527777777778
9,WinterSolsticeSun,Centre,206.025308177348,9.06416473715062,53.2322222222222,-6.22527777777778
10,WinterSolsticeSun,Centre,206.010541683682,9.06849742900165,53.2322222222222,-6.22527777777778
11,WinterSolsticeSun,Centre,206.010541683682,9.06849742900165,53.2322222222222,-6.22527777777778
12,WinterSolsticeSun,Centre,205.840663845166,9.11816134877731,53.2325,-6.225
13,WinterSolsticeSun,Bottom,205.232523457392,9.01816582328865,53.2325,-6.225
14,SummerSolsticeSun,Bottom,45.5165953658957,-0.547859043431631,53.6759567328595,-5.45918461812527
15,SummerSolsticeSun,Centre,44.9403494263961,-0.548783920027084,53.6805321216159,-5.46668780300111
16,SummerSolsticeSun,Top,44.3650415955503,-0.547254157790864,53.6851275240318,-5.47438021412252
17,SummerSolsticeSun,Top,298.729923097696,9.18415513166793,53.2358333333333,-6.23277777777778
18,SummerSolsticeSun,Top,298.729923097696,9.18415513166793,53.2358333333333,-6.23277777777778
19,SummerSolsticeSun,Top,298.717339258282,9.1928189493322,53.2358333333333,-6.23277777777778
20,SummerSolsticeSun,Centre,298.183952630141,9.23762094907022,53.2358333333333,-6.23305555555556
