Number,Height,TopCentreBottom,Azimuth,Elevation,Latitude,Longitude
0,WinterSolsticeSun,Bottom,134.302596046028,0.925147429621209,53.1969444444444,-6.30666666666667
1,WinterSolsticeSun,Centre,133.687172110941,0.901712937072049,53.1975,-6.30555555555556
2,WinterSolsticeSun,Top,133.023934618438,0.853087635221512,53.1983333333333,-6.305
3,WinterSolsticeSun,Top,219.874270007254,4.18376681836408,53.2513888888889,-6.40888888888889
4,WinterSolsticeSun,Centre,219.2766847681,4.1643282828959,53.2513888888889,-6.40861111111111
5,WinterSolsticeSun,Bottom,218.735792649175,4.11753645605951,53.2513888888889,-6.40861111111111
6,SummerSolsticeSun,Bottom,45.4284852576388,-0.574510188037399,53.7171700035652,-5.60637141286632
7,SummerSolsticeSun,Centre,44.8589867836021,-0.571922975966488,53.4913888888889,-6.00722222222222
8,SummerSolsticeSun,Top,44.3714787093245,-0.53144951161209,53.4911111111111,-6.01444444444444
9,SummerSolsticeSun,Top,315.459775497552,-0.45787936949388,53.7091666666667,-7.165
10,SummerSolsticeSun,Centre,314.763089097758,-0.405447644027242,53.715,-7.19388888888889
11,SummerSolsticeSun,Bottom,314.193623460271,-0.406355443699363,53.7619444444444,-7.29333333333333
12,EquinoxSun,Bottom,89.2113014804626,-0.29155079202591,53.2555555555556,-6.24111111111111
13,EquinoxSun,Bottom,89.197944287631,-0.299826844351034,53.2555555555556,-6.24111111111111
14,EquinoxSun,Bottom,89.197944287631,-0.299826844351034,53.2552777777778,-6.27
15,EquinoxSun,Centre,88.423893893746,-0.504450945114872,53.2563888888889,-6.27
16,EquinoxSun,Centre,88.4105332598028,-0.512864864575068,53.2563888888889,-6.27
17,EquinoxSun,Centre,88.4105332598028,-0.512864864575068,53.2563888888889,-6.27027777777778
18,EquinoxSun,Top,87.870214886004,-0.572448728097179,53.2738105009138,-5.29618016409661
19,EquinoxSun,Top,266.878826827554,2.90070106057145,53.2541666666667,-6.40805555555556
20,EquinoxSun,Centre,266.384816190172,2.93387138549789,53.2541666666667,-6.40805555555556
21,EquinoxSun,Bottom,265.890777267406,2.96687378289435,53.2541666666667,-6.40888888888889
22,MoonMinusEMinusI,Bottom,156.767511843118,3.40027591606279,53.2186111111111,-6.37916666666667
23,MoonMinusEMinusI,Bottom,156.739480918048,3.39273027968524,53.2177777777778,-6.37861111111111
24,MoonMinusEMinusI,Bottom,156.739480918048,3.39273027968524,53.2186111111111,-6.37916666666667
25,MoonMinusEMinusI,Centre,154.401725306823,2.99176119247834,53.22,-6.37722222222222
26,MoonMinusEMinusI,Centre,154.387789221971,2.98766009028791,53.22,-6.37722222222222
27,MoonMinusEMinusI,Centre,154.373853884063,2.98355724172188,53.22,-6.37722222222222
28,MoonMinusEMinusI,Centre,154.345985449922,2.97534631162593,53.22,-6.37722222222222
29,MoonMinusEMinusI,Centre,154.345985449922,2.97534631162593,53.22,-6.37722222222222
