Number,Height,TopCentreBottom,Azimuth,Elevation,Latitude,Longitude
0,WinterSolsticeSun,Bottom,136.621911564544,2.06910304646462,53.1016666666667,-6.43777777777778
1,WinterSolsticeSun,Centre,136.087191873574,2.09458153588133,53.0908333333333,-6.41833333333333
2,WinterSolsticeSun,Top,135.646506997451,2.16327205576349,53.0913888888889,-6.41722222222222
3,WinterSolsticeSun,Top,225.41628252967,1.65237878234387,53.1586111111111,-6.57444444444444
4,WinterSolsticeSun,Centre,224.806250806873,1.66938243121322,53.1575,-6.57611111111111
5,WinterSolsticeSun,Bottom,224.264686272402,1.65152997027631,53.1569444444444,-6.57638888888889
6,SummerSolsticeSun,Bottom,49.0163595691949,1.04483854359466,53.1841666666667,-6.52888888888889
7,SummerSolsticeSun,Centre,48.5201297590922,1.06741730325713,53.1844444444444,-6.52916666666667
8,SummerSolsticeSun,Top,47.9783241029728,1.06870389807549,53.1844444444444,-6.52916666666667
9,SummerSolsticeSun,Top,309.110949502382,2.60976303846139,53.1811111111111,-6.56666666666667
10,SummerSolsticeSun,Centre,308.55577104986,2.62849776761747,53.1811111111111,-6.56694444444444
11,SummerSolsticeSun,Bottom,308.039042810307,2.62722400269792,53.1811111111111,-6.56694444444444
12,EquinoxSun,Bottom,91.9678241327007,1.48542053614626,53.1686111111111,-6.335
13,EquinoxSun,Centre,91.6478453677843,1.57063070245627,53.1691666666667,-6.33555555555556
14,EquinoxSun,Top,91.2878059503585,1.62874675352334,53.17,-6.33666666666667
15,EquinoxSun,Top,265.497966332921,3.89243420757009,53.1722222222222,-6.56972222222222
16,EquinoxSun,Centre,265.036954363195,3.90220017497074,53.1722222222222,-6.57027777777778
17,EquinoxSun,Bottom,264.555828370223,3.92612485338834,53.1719444444444,-6.57
18,MoonMinusEMinusI,Bottom,152.524460354768,2.23450752671645,53.09,-6.47805555555556
19,MoonMinusEMinusI,Centre,152.089824684046,2.35333701850041,53.0905555555556,-6.47722222222222
20,MoonMinusEMinusI,Top,151.660658433654,2.47287434662723,53.0911111111111,-6.47638888888889
21,MoonMinusEMinusI,Top,212.633829970996,1.01701241080993,53.155,-6.56944444444444
22,MoonMinusEMinusI,Centre,212.064005708046,0.96943603638469,53.1547222222222,-6.56916666666667
23,MoonMinusEMinusI,Bottom,211.502459195002,0.91667638364658,53.1544444444444,-6.56916666666667
24,MoonMinusEPlusI,Bottom,129.151508707407,2.91838717211436,53.1038888888889,-6.40833333333333
25,MoonMinusEPlusI,Centre,128.638857301572,2.92553430298909,53.1041666666667,-6.40666666666667
26,MoonMinusEPlusI,Top,127.446998098444,2.56082041037777,53.1033333333333,-6.39833333333333
27,MoonMinusEPlusI,Top,233.010925121774,2.31043196869824,53.1616666666667,-6.57555555555556
28,MoonMinusEPlusI,Centre,232.607193089958,2.2501474892614,53.1613888888889,-6.57555555555556
29,MoonMinusEPlusI,Bottom,232.197227896019,2.19258500516265,53.1613888888889,-6.57583333333333
30,MoonPlusEMinusI,Bottom,60.7132231668971,1.25069432322025,53.2169444444444,-6.41944444444444
31,MoonPlusEMinusI,Centre,60.2475663235531,1.25351392955043,53.2169444444444,-6.42166666666667
32,MoonPlusEMinusI,Top,59.690137294706,1.20333318724509,53.2177777777778,-6.42222222222222
33,MoonPlusEMinusI,Top,296.838824201496,3.37066521371189,53.1788888888889,-6.56888888888889
34,MoonPlusEMinusI,Centre,296.333663166265,3.40168410719999,53.1786111111111,-6.56888888888889
35,MoonPlusEMinusI,Bottom,295.854042807379,3.41677723912753,53.1786111111111,-6.56888888888889
36,MoonPlusEPlusI,Bottom,39.886735787246,1.09260727068507,53.1847222222222,-6.53388888888889
37,MoonPlusEPlusI,Centre,39.1766571249858,1.04256836080143,53.1847222222222,-6.53416666666667
38,MoonPlusEPlusI,Top,38.5596659831944,1.03570708642954,53.2116666666667,-6.49861111111111
39,MoonPlusEPlusI,Top,315.563605275123,3.84371598854679,53.1786111111111,-6.55888888888889
40,MoonPlusEPlusI,Centre,315.182739286256,3.76038456829964,53.1783333333333,-6.55888888888889
41,MoonPlusEPlusI,Bottom,314.833070848908,3.66127883187653,53.1783333333333,-6.55888888888889
42,CrossQuarterSun1,Bottom,62.9758802896894,1.41798027408227,53.2175,-6.40444444444444
43,CrossQuarterSun1,Centre,62.4960123322303,1.41757658590103,53.2183333333333,-6.40444444444444
44,CrossQuarterSun1,Top,61.9503383847106,1.37845746146351,53.2194444444444,-6.40444444444444
45,CrossQuarterSun1,Top,294.820951718923,3.42777598050434,53.1783333333333,-6.56916666666667
46,CrossQuarterSun1,Centre,294.367166725825,3.41803872914231,53.1783333333333,-6.56916666666667
47,CrossQuarterSun1,Bottom,293.899828879452,3.41798974992149,53.1783333333333,-6.56944444444444
48,CrossQuarterSun2,Bottom,123.087444957164,2.47688646515009,53.1491666666667,-6.48888888888889
49,CrossQuarterSun2,Centre,122.65549813434,2.5204291819306,53.1505555555556,-6.49166666666667
50,CrossQuarterSun2,Top,122.22980474539,2.56689535910572,53.1513888888889,-6.4925
51,CrossQuarterSun2,Top,237.682066185539,2.61864032073276,53.1633333333333,-6.57555555555556
52,CrossQuarterSun2,Centre,237.236047012886,2.58374393473137,53.1633333333333,-6.57583333333333
53,CrossQuarterSun2,Bottom,236.783776773987,2.55162656042462,53.1630555555556,-6.57555555555556
