Number,Height,TopCentreBottom,Azimuth,Elevation,Latitude,Longitude
0,WinterSolsticeSun,Bottom,138.008644131963,2.76026440512561,53.0872222222222,-6.57638888888889
1,WinterSolsticeSun,Centre,137.617501560517,2.85962743505151,53.0875,-6.57611111111111
2,WinterSolsticeSun,Top,137.232320784976,2.96116579185731,53.0877777777778,-6.57611111111111
3,WinterSolsticeSun,Top,226.50764180831,1.1651568762185,53.0852777777778,-6.65722222222222
4,WinterSolsticeSun,Centre,226.092565483313,1.09453601858108,53.085,-6.65722222222222
5,WinterSolsticeSun,Bottom,225.671600627959,1.02611979445774,53.085,-6.65638888888889
6,SummerSolsticeSun,Bottom,48.7836600130405,0.892467649284873,53.2133333333333,-6.41666666666667
7,SummerSolsticeSun,Centre,48.1945539634651,0.869470585360512,53.2136111111111,-6.42027777777778
8,SummerSolsticeSun,Top,47.5398899578822,0.816720629004538,53.215,-6.42222222222222
9,SummerSolsticeSun,Top,314.516179188745,-0.130987069732927,53.1161111111111,-6.62055555555556
10,SummerSolsticeSun,Centre,313.954393727421,-0.132868739989232,53.1161111111111,-6.62055555555556
11,SummerSolsticeSun,Bottom,313.425248211235,-0.147552187489789,53.1158333333333,-6.62055555555556
12,EquinoxSun,Bottom,94.7040406974137,3.40492218129973,53.1091666666667,-6.57222222222222
13,EquinoxSun,Centre,94.3034659259636,3.43763117085832,53.1091666666667,-6.57222222222222
14,EquinoxSun,Top,93.8761273398407,3.45107188134661,53.1094444444444,-6.57222222222222
15,EquinoxSun,Top,270.673292940094,0.333538530012332,53.1113888888889,-6.67305555555556
16,EquinoxSun,Centre,270.213280370107,0.343517471308898,53.1111111111111,-6.67388888888889
17,EquinoxSun,Bottom,269.713278687927,0.378963093212544,53.1108333333333,-6.67222222222222
18,MoonMinusEMinusI,Bottom,156.091488883998,3.34235748659842,53.0819444444444,-6.59055555555556
19,MoonMinusEMinusI,Centre,155.612728032805,3.46677134415499,53.0822222222222,-6.59027777777778
20,MoonMinusEMinusI,Top,155.055179876371,3.56668926583331,53.0822222222222,-6.58972222222222
21,MoonMinusEMinusI,Top,213.278278805474,0.835356637526392,53.0708333333333,-6.65611111111111
22,MoonMinusEMinusI,Centre,212.681068889215,0.801524908504137,53.0705555555556,-6.65527777777778
23,MoonMinusEMinusI,Bottom,212.11914499874,0.752901390000314,53.0705555555556,-6.65444444444444
24,MoonMinusEPlusI,Bottom,129.526507570742,3.15840581384559,53.0922222222222,-6.57388888888889
25,MoonMinusEPlusI,Centre,128.924322703925,3.11839749679832,53.0925,-6.57388888888889
26,MoonMinusEPlusI,Top,128.355963094326,3.09446983383067,53.0933333333333,-6.57444444444444
27,MoonMinusEPlusI,Top,236.168559657166,0.626306592074193,53.0927777777778,-6.65722222222222
28,MoonMinusEPlusI,Top,236.168559657166,0.626306592074193,53.0927777777778,-6.65722222222222
29,MoonMinusEPlusI,Top,236.15512072612,0.633483908616495,53.0927777777778,-6.65722222222222
30,MoonMinusEPlusI,Centre,235.535321054703,0.700664315630995,53.0927777777778,-6.65694444444444
31,MoonMinusEPlusI,Bottom,234.929433047237,0.758668801017926,53.0922222222222,-6.65666666666667
32,MoonPlusEMinusI,Bottom,61.4089288473409,1.64370202415222,53.1519444444444,-6.48666666666667
33,MoonPlusEMinusI,Centre,60.9562743989243,1.65225197969635,53.1525,-6.48722222222222
34,MoonPlusEMinusI,Top,60.5041115750497,1.66187871636046,53.1530555555556,-6.48777777777778
35,MoonPlusEMinusI,Top,302.595310298618,-0.0888336225361115,53.1136111111111,-6.61888888888889
36,MoonPlusEMinusI,Centre,302.143818823243,-0.105407979925061,53.1136111111111,-6.61888888888889
37,MoonPlusEMinusI,Bottom,301.69845848314,-0.12443681572548,53.1136111111111,-6.61888888888889
38,MoonPlusEPlusI,Bottom,38.6820972894358,0.544166754754609,53.1455555555556,-6.56611111111111
39,MoonPlusEPlusI,Centre,38.1562467875302,0.577143024794789,53.1413888888889,-6.57222222222222
40,MoonPlusEPlusI,Top,37.5854783104809,0.59413806195162,53.1402777777778,-6.57444444444444
41,MoonPlusEPlusI,Top,324.374246279706,-0.149037529861176,53.1163888888889,-6.61833333333333
42,MoonPlusEPlusI,Centre,323.737580345152,-0.150663002084548,53.1161111111111,-6.61833333333333
43,MoonPlusEPlusI,Bottom,323.166098771231,-0.17368329183523,53.1161111111111,-6.61833333333333
44,CrossQuarterSun1,Bottom,63.1933618732775,1.52590133852699,53.15,-6.48361111111111
45,CrossQuarterSun1,Centre,62.7730287145543,1.56091643368519,53.1502777777778,-6.48444444444444
46,CrossQuarterSun1,Top,62.3597498390791,1.60087029014072,53.1508333333333,-6.485
47,CrossQuarterSun1,Top,300.661240805292,-0.121512803711537,53.2238888888889,-6.93138888888889
48,CrossQuarterSun1,Centre,300.188660502746,-0.132158650869008,53.2222222222222,-6.9325
49,CrossQuarterSun1,Bottom,299.708889644544,-0.138100496686272,53.2205555555556,-6.93416666666667
50,CrossQuarterSun2,Bottom,123.974467863297,3.02557387326232,53.0966666666667,-6.57666666666667
51,CrossQuarterSun2,Centre,123.549385517419,3.07582802062722,53.0966666666667,-6.57611111111111
52,CrossQuarterSun2,Top,123.123766048168,3.12502203532411,53.0969444444444,-6.57611111111111
53,CrossQuarterSun2,Top,241.360162365546,0.511876075325249,53.0894444444444,-6.67777777777778
54,CrossQuarterSun2,Centre,240.893725226853,0.501069646828296,53.0894444444444,-6.67722222222222
55,CrossQuarterSun2,Bottom,240.387773026207,0.511538261543102,53.0888888888889,-6.67666666666667
