Number,Height,TopCentreBottom,Azimuth,Elevation,Latitude,Longitude
0,WinterSolsticeSun,Bottom,134.08008753326,0.950659302485991,53.0363888888889,-6.68388888888889
1,WinterSolsticeSun,Centre,133.484862279726,0.934271812741239,53.0363888888889,-6.68388888888889
2,WinterSolsticeSun,Top,132.788445268755,0.866811379981189,53.0366666666667,-6.68388888888889
3,WinterSolsticeSun,Top,229.200785940526,-0.0828052820914908,52.8302777777778,-7.10222222222222
4,WinterSolsticeSun,Centre,228.591918215814,-0.0495189261760913,52.8525,-7.05222222222222
5,WinterSolsticeSun,Bottom,228.030247866629,-0.0403979344411876,52.8508333333333,-7.04861111111111
6,SummerSolsticeSun,Bottom,48.2518322905292,0.592288463254767,53.1536111111111,-6.48861111111111
7,SummerSolsticeSun,Centre,47.7757147315702,0.625950250268436,53.215,-6.37833333333333
8,SummerSolsticeSun,Top,47.3801766589848,0.699596274470181,53.2163888888889,-6.38027777777778
9,SummerSolsticeSun,Top,311.572761893557,1.21756851699926,53.0433333333333,-6.69611111111111
10,SummerSolsticeSun,Centre,311.063991091689,1.20209508912962,53.0433333333333,-6.69611111111111
11,SummerSolsticeSun,Bottom,310.547776582322,1.19191197023534,53.0433333333333,-6.69611111111111
12,EquinoxSun,Bottom,92.0918255510623,1.57599026165349,53.04,-6.56277777777778
13,EquinoxSun,Centre,91.7116651883504,1.61971032741862,53.0405555555556,-6.56277777777778
14,EquinoxSun,Top,91.3181670494858,1.65429986752652,53.0411111111111,-6.56333333333333
15,EquinoxSun,Top,269.694202106902,0.969513731714843,53.0430555555556,-6.69694444444444
16,EquinoxSun,Centre,269.274141047948,0.953872106160513,53.0430555555556,-6.69694444444444
17,EquinoxSun,Bottom,268.867402398006,0.929395617076773,53.0430555555556,-6.69694444444444
18,MoonMinusEMinusI,Bottom,148.74658494953,1.10024828038381,53.0336111111111,-6.68583333333333
19,MoonMinusEMinusI,Centre,147.981567977137,1.08357079703637,53.0338888888889,-6.68583333333333
20,MoonMinusEMinusI,Centre,147.961227355098,1.07648461966595,53.0338888888889,-6.68583333333333
21,MoonMinusEMinusI,Centre,147.961227355098,1.07648461966595,53.0338888888889,-6.68583333333333
22,MoonMinusEMinusI,Top,147.140489702994,1.03479175927542,53.0338888888889,-6.68555555555556
23,MoonMinusEMinusI,Top,215.940654762543,-0.0739899138880078,52.7288888888889,-7.07083333333333
