"URL,C,54","NAME,C,80","TYPEID,N,9,0","TYPE,C,60","MAP_REF,C,9","LONGITUDE,N,9,6","LATITUDE,N,9,6","COUNTY,C,35","ACCURACY,N,9,0","CONDITION,N,9,0","AMBIENCE,N,9,0","ACCESS,N,9,0","IMAGE,C,9","COLOUR,C,9"
99999,PARKNABINNIA CL017-180011-,21,Viewpoint,,-9.10209426,52.98477648,CLARE,0,5,0,5,,tg
99999,The Lag (Ringarogy Island) CO150-057----,21,Viewpoint,,-9.3568777,51.50599211,CORK,0,5,0,5,,tg
99999,CILL LEICE CO153-010----,21,Viewpoint,,-9.47867071,51.44284524,CORK,0,5,0,5,,tg
99999,CARN CV014-008----,21,Viewpoint,,-7.5469029,54.07264997,CAVAN,0,5,0,5,,tg
99999,BANAGHER CV026-004004-,21,Viewpoint,,-7.2896281,53.94482713,CAVAN,0,5,0,5,,tg
99999,KILMONASTER MIDDLE DG070-063003-,21,Viewpoint,,-7.57553343,54.8256994,DONEGAL,0,5,0,5,,tg
99999,KILMONASTER MIDDLE DG070-063005-,21,Viewpoint,,-7.57736808,54.82585854,DONEGAL,0,5,0,5,,tg
99999,KILMONASTER MIDDLE DG070-063006-,21,Viewpoint,,-7.57755247,54.8260838,DONEGAL,0,5,0,5,,tg
99999,KILMONASTER MIDDLE DG070-063007-,21,Viewpoint,,-7.57780821,54.82543778,DONEGAL,0,5,0,5,,tg
99999,KILMONASTER MIDDLE DG070-063008-,21,Viewpoint,,-7.5779207,54.82658823,DONEGAL,0,5,0,5,,tg
99999,KILMONASTER MIDDLE DG070-063009-,21,Viewpoint,,-7.57911405,54.8255681,DONEGAL,0,5,0,5,,tg
99999,KILMONASTER MIDDLE DG070-063010-,21,Viewpoint,,-7.57780362,54.8273695,DONEGAL,0,5,0,5,,tg
99999,GORTNAGOLE DG070-070----,21,Viewpoint,,-7.56638922,54.82366347,DONEGAL,0,5,0,5,,tg
