"URL,C,54","NAME,C,80","TYPEID,N,9,0","TYPE,C,60","MAP_REF,C,9","LONGITUDE,N,9,6","LATITUDE,N,9,6","COUNTY,C,35","ACCURACY,N,9,0","CONDITION,N,9,0","AMBIENCE,N,9,0","ACCESS,N,9,0","IMAGE,C,9","COLOUR,C,9"
,PARKNABINNIA CL017-180011-,,Passage Tomb,,-9.10209426,52.98477648,CLARE,,,,,,
,The Lag (Ringarogy Island) CO150-057----,,Passage Tomb,,-9.3568777,51.50599211,CORK,,,,,,
,CILL LEICE CO153-010----,,Passage Tomb,,-9.47867071,51.44284524,CORK,,,,,,
,CARN CV014-008----,,Passage Tomb,,-7.5469029,54.07264997,CAVAN,,,,,,
,BANAGHER CV026-004004-,,Passage Tomb,,-7.2896281,53.94482713,CAVAN,,,,,,
,KILMONASTER MIDDLE DG070-063003-,,Passage Tomb,,-7.57553343,54.8256994,DONEGAL,,,,,,
,KILMONASTER MIDDLE DG070-063005-,,Passage Tomb,,-7.57736808,54.82585854,DONEGAL,,,,,,
,KILMONASTER MIDDLE DG070-063006-,,Passage Tomb,,-7.57755247,54.8260838,DONEGAL,,,,,,
,KILMONASTER MIDDLE DG070-063007-,,Passage Tomb,,-7.57780821,54.82543778,DONEGAL,,,,,,
,KILMONASTER MIDDLE DG070-063008-,,Passage Tomb,,-7.5779207,54.82658823,DONEGAL,,,,,,
,KILMONASTER MIDDLE DG070-063009-,,Passage Tomb,,-7.57911405,54.8255681,DONEGAL,,,,,,
,KILMONASTER MIDDLE DG070-063010-,,Passage Tomb,,-7.57780362,54.8273695,DONEGAL,,,,,,
,GORTNAGOLE DG070-070----,,Passage Tomb,,-7.56638922,54.82366347,DONEGAL,,,,,,
,"GLENSMOIL,CROAGHAN DG070-074002-",,Passage Tomb,,-7.5349824,54.82403241,DONEGAL,,,,,,
,GORTFAD DG079-007----,,Passage Tomb,,-7.56771394,54.8103617,DONEGAL,,,,,,
,MAGHERACAR DG106-011----,,Passage Tomb,,-8.31569355,54.47648718,DONEGAL,,,,,,
,FINNER DG107-106----,,Passage Tomb,,-8.2491947,54.49179167,DONEGAL,,,,,,
,BREMORE DU002-001001-,,Passage Tomb,,-6.19114913,53.630253,DUBLIN,,,,,,
,BREMORE DU002-001002-,,Passage Tomb,,-6.19074305,53.63020192,DUBLIN,,,,,,
