"URL,C,54","NAME,C,80","TYPEID,N,9,0","TYPE,C,60","MAP_REF,C,9","LONGITUDE,N,9,6","LATITUDE,N,9,6","COUNTY,C,35","ACCURACY,N,9,0","CONDITION,N,9,0","AMBIENCE,N,9,0","ACCESS,N,9,0","IMAGE,C,9","COLOUR,C,9"
99999,RandomCircle1,21,Viewpoint,,-6.8488312032,52.9814791686,CLARE,0,5,0,5,,tg
99999,RandomCircle2,21,Viewpoint,,-6.8455201876,52.9424948474,CLARE,0,5,0,5,,tg
99999,RandomCircle3,21,Viewpoint,,-6.84527969,53.2573528745,CLARE,0,5,0,5,,tg
99999,RandomCircle4,21,Viewpoint,,-6.8446822421,53.2964910861,CLARE,0,5,0,5,,tg
99999,RandomCircle5,21,Viewpoint,,-6.8402447672,53.0801891,CLARE,0,5,0,5,,tg
99999,RandomCircle6,21,Viewpoint,,-6.8401034938,53.0313557584,CLARE,0,5,0,5,,tg
99999,RandomCircle7,21,Viewpoint,,-6.8394617723,53.2224776881,CLARE,0,5,0,5,,tg
99999,RandomCircle8,21,Viewpoint,,-6.8365520925,53.0469405561,CLARE,0,5,0,5,,tg
99999,RandomCircle9,21,Viewpoint,,-6.834642719,53.2156598478,CLARE,0,5,0,5,,tg
99999,RandomCircle10,21,Viewpoint,,-6.8278657439,53.1659574805,CLARE,0,5,0,5,,tg
99999,RandomCircle11,21,Viewpoint,,-6.8252021374,53.1758408746,CLARE,0,5,0,5,,tg
99999,RandomCircle12,21,Viewpoint,,-6.8250033724,53.0561791171,CLARE,0,5,0,5,,tg
99999,RandomCircle13,21,Viewpoint,,-6.8230471521,53.1320384257,CLARE,0,5,0,5,,tg
99999,RandomCircle14,21,Viewpoint,,-6.8220124974,52.9701523814,CLARE,0,5,0,5,,tg
99999,RandomCircle15,21,Viewpoint,,-6.8163268927,53.1643982383,CLARE,0,5,0,5,,tg
99999,RandomCircle16,21,Viewpoint,,-6.8130632274,52.9009552349,CLARE,0,5,0,5,,tg
99999,RandomCircle17,21,Viewpoint,,-6.8109997455,52.9248129806,CLARE,0,5,0,5,,tg
99999,RandomCircle18,21,Viewpoint,,-6.8080362136,53.0459750983,CLARE,0,5,0,5,,tg
